Site,Species,Species_control,Session,River,Site_ID,Date_of_Trap,Inv_status,IAS_%_Cover,Open_Inf,SR_flowering_per_10m,Unique_currently_flowering_100m,B_lucorum_agg,B_pratorum,B_pascuorum,B_hortorum,Sphecodes_spp,H_rubicudus,Lasioglossum_spp,Andrena_spp,Andrena_clarkella,Andrena_wilkella,Hylaeus_spp,Osmia_spp,Apis_mellifera,Rhingia_campestris,Helophilus_pendulus,Helophilus_hybridus,Helophilus_trivittatus,Melanostoma_scalare,Melanostoma_mellinum,Mallota_fuciformis,Eristalis_tenax,Eristalis_abusivus,Eristalis_pertinax,Eristalis_arbustorum,Eristalis_interruptus,Eristalis_horticola,Eristalis_intricarius,Chrysogaster_cemiteriorum,Meliscaeva_auricollis,Platycheirus_albimanus,Platycheirus_splendidus,Platycheirus_granditarsus,Platycheirus_scutatus,Platycheirus_podagratus,Platycheirus_tarsalis,Syrphus_ribesii,Syrphus_vitripennis,Neoascia_podagrica,Episyrphus_balteatus,Sericomyia_lappona,Sericomyia_silentis,Eupeodes_corollae,Eupeodes_latifasciatus,Eupeodes_luniger,Eupeodes_nitens,Myathropa_florea,Pipiza_fenestrata,Chalcosyrphus_nemorum,Baccha_elongata,Xylota_segnis
LAG3,HB,Control,B,Lagan,3Clement,02/08/2013,Native,6.5,105,4.4,3,6,1,2,7,0,0,0,0,0,0,0,0,0,0,12,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LAG4,HB,HB,B,Lagan,4Meadows,02/08/2013,Invaded,74.5,105,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL1,HB,Control,A,Coalisland,1DSHigh,19/07/2013,Native,0,123,5.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROE 2,HB,Control,A,Roe,2Dogleap,17/07/2013,Native,0,165,4.7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAG1,HB,HB,A,Lagan,1Dixon,19/07/2013,Invaded,63.5,177,4.6,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAG2,HB,Control,B,Lagan,2TowBarnetts,02/08/2013,Native,0,230,4.1,3,4,0,6,5,0,0,1,0,0,0,0,0,1,0,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
COAL2,HB,HB,B,Coalisland,2TowHigh,02/08/2013,Invaded,53.5,260,5.3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAG1,HB,HB,B,Lagan,1Dixon,02/08/2013,Invaded,69.5,270,4.6,3,35,4,21,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
ROE 1,HB,HB,B,Roe,1OCahans,31/07/2013,Invaded,45.5,332,3.9,4,8,0,2,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16
ROE 4,HB,HB,B,Roe,4Burnfoot,31/07/2013,Invaded,49,337,4.9,5,1,0,3,16,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LAG2,HB,Control,A,Lagan,2TowBarnetts,19/07/2013,Native,0,645,3.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
